Down Counter,LUTs,LUTs (adjusted),FFs,Max Clock Frequency
Artix 7,7,7,8,N/A (synth only)
RTG4,13,19.5,8,260.0 MHz
Efinix,3,4.5,10,1383.1 MHz 
CertusPro-NX,4,6,8,402.5 MHz
,,,,
Up Counter,LUTs,LUTs (adjusted),FFs,Max Clock Frequency
Artix 7,7,7,8,N/A (synth only)
RTG4,13,19.5,8,272.5 MHz
Efinix,3,4.5,17,1579.8 MHz 
CertusPro-NX,3,4.5,8,442.2 MHz
,,,,
SPI Controller,LUTs,LUTs (adjusted),FFs,Max Clock Frequency
Artix 7,19,19,36,N/A (synth only)
RTG4,39,58.5,38,199.8 MHz
Efinix,38,57,35,889.7 MHz
CertusPro-NX,26,39,35,375.9 MHz
,,,,
TMR SPI Controller,LUTs,LUTs (adjusted),FFs,Max Clock Frequency
Artix 7,91,91,108,N/A (synth only)
RTG4,153,229.5,114,199.8 MHz
Efinix,151,226.5,105,819.7 MHz
CertusPro-NX,117,175.5,105,362.5 MHz
